iter	Passed	Remaining
929	14665	1103
930	14681	1088
931	14695	1072
932	14709	1056
933	14723	1040
934	14736	1024
935	14751	1008
936	14768	992
937	14782	977
938	14794	961
939	14807	945
940	14822	929
941	14838	913
942	14853	897
943	14867	881
944	14880	866
945	14894	850
946	14907	834
947	14920	818
948	14935	802
949	14948	786
950	14961	770
951	14976	755
952	14989	739
953	15004	723
954	15020	707
955	15035	692
956	15050	676
957	15064	660
958	15080	644
959	15093	628
960	15105	613
961	15118	597
962	15130	581
963	15148	565
964	15160	549
965	15173	534
966	15188	518
967	15202	502
968	15217	486
969	15231	471
970	15245	455
971	15261	439
972	15277	423
973	15291	408
974	15306	392
975	15320	376
976	15336	361
977	15351	345
978	15371	329
979	15393	314
980	15410	298
981	15430	282
982	15445	267
983	15459	251
984	15473	235
985	15487	219
986	15501	204
987	15517	188
988	15530	172
989	15543	157
990	15556	141
991	15570	125
992	15585	109
993	15597	94
994	15610	78
995	15626	62
996	15643	47
997	15657	31
998	15672	15
999	15686	0
